Country,Continent,Total Population,Total GDP
Albania,Europe,26134450,92787.866578
Algeria,Middle East and Africa,338758972,120957.35313
Angola,Middle East and Africa,226584387,59620.213487
Argentina,Americas,378945938,172234.51704
Armenia,Asia,26073113,68778.209091
Australia,Oceania,204766781,386448.03351
Austria,Europe,76255403,412306.5516
Azerbaijan,Asia,83592874,146081.72505
Bahamas,Americas,3340450,265577.29989
Bahrain,Middle East and Africa,11567801,385789.38645
Bangladesh,Asia,1402177610,25131.118789
Barbados,Americas,2532651,193700.0
Belarus,Europe,9501534,18078.09603
Belgium,Europe,99575534,379782.74903
Belize,Americas,3029712,72150.989272
Benin,Middle East and Africa,87770256,17428.368196
Bhutan,Asia,3126560,32233.964939999998
Bolivia,Americas,92169202,54047.26314
Bosnia and Herzegovina,Europe,32793087,93387.503714
Botswana,Middle East and Africa,18838290,130169.95139
Brazil,Americas,1804155703,134091.74531
Brunei Darussalam,Asia,2840581,563705.06715
Bulgaria,Europe,65781685,147085.58442
Burkina Faso,Middle East and Africa,149504919,13858.096714
Burundi,Middle East and Africa,84046806,6659.7570495
Cambodia,Asia,105196979,21586.390249
Cameroon,Middle East and Africa,190082204,28241.172932
Canada,Americas,312757778,381894.41649
Cape Verde,Middle East and Africa,3643446,43112.080653
Central Afr. Rep.,Middle East and Africa,40320476,6984.8481825
Chad,Middle East and Africa,114682618,17605.280512999998
Chile,Americas,155697056,184920.00716
China,Asia,12159980000,102867.229509
Colombia,Americas,421540951,108025.14206
"Congo, Dem. R.",Middle East and Africa,622970250,6609.3484709
"Congo, Rep. Of",Middle East and Africa,41645896,47869.73452
Costa Rica,Americas,41846749,126500.72792
Cote d'Ivoire,Middle East and Africa,193451650,26419.793154
Croatia,Europe,38701578,192289.73412
Cyprus,Europe,10179458,292486.35134
Czech Rep.,Europe,94461832,271945.17733
Denmark,Europe,50396443,406191.83516
Dominican Rep.,Americas,91348633,109225.49222
Ecuador,Americas,138764643,92661.82872
Egypt,Middle East and Africa,792324179,90137.787197
El Salvador,Americas,56015175,61065.59584
Estonia,Europe,11916954,229797.49171
Ethiopia,Middle East and Africa,833325481,11544.1504011
Fiji,Oceania,7852369,71351.89411
Finland,Europe,48693183,366084.55073
France,Europe,590879990,342416.91084
Gabon,Middle East and Africa,15820238,147078.87666
"Gambia, The",Middle East and Africa,13033904,11273.500324
Georgia,Asia,34573400,71523.089122
Germany,Europe,732153525,389625.44397
Ghana,Middle East and Africa,231667783,31864.590817
Greece,Europe,98910587,247216.11356
Guatemala,Americas,137527637,63911.261178
Guinea,Middle East and Africa,47829581,7514.263105
Guinea-Bissau,Middle East and Africa,14781925,13022.672358
Guyana,Americas,6804045,58629.425524
Haiti,Americas,92554417,14705.14086
Honduras,Americas,76500400,37985.697134
Hong Kong,Asia,64212800,462159.11544
Hungary,Europe,89369551,211654.48837
Iceland,Europe,2911088,388383.02689
India,Asia,11358346445,45053.049586
Indonesia,Asia,2239055568,84963.81708
Iran,Middle East and Africa,688530165,158130.38259
Iraq,Middle East and Africa,37202572,17440.44582
Ireland,Europe,41503539,459741.27640000003
Israel,Middle East and Africa,71295600,287355.41765
Italy,Europe,538499847,324759.54383
Jamaica,Americas,25549082,74480.516768
Japan,Asia,1148498511,337109.59721
Jordan,Middle East and Africa,71898718,82628.550258
Kazakhstan,Asia,151098680,199216.9388
Kenya,Middle East and Africa,393418165,24000.940261
"Korea, South",Asia,451489352,288715.80389
Kuwait,Middle East and Africa,30425182,697966.21816
Kyrgyz Republic,Asia,50863200,27602.40725
Laos,Asia,19998717,18405.037724
Latvia,Europe,18454067,191820.93269000002
Lebanon,Middle East and Africa,36579441,104941.80322
Lesotho,Middle East and Africa,18855396,23219.03344
Liberia,Middle East and Africa,13504181,3873.9358540000003
Libya,Middle East and Africa,24928286,70799.63157
Lithuania,Europe,27137514,220391.28466
Luxembourg,Europe,4793976,840418.68952
Macedonia,Europe,18667377,110725.37559
Madagascar,Middle East and Africa,201487338,12790.131158
Malawi,Middle East and Africa,145189021,9573.381187
Malaysia,Asia,262479486,208608.46108
Mali,Middle East and Africa,144270963,17049.328169
Malta,Europe,3833594,275866.88641
Mauritania,Middle East and Africa,34564732,31786.670297
Mauritius,Middle East and Africa,11295901,157378.68121
Mexico,Americas,1086593243,145659.03663
Moldova,Europe,32038287,39617.358858
Mongolia,Asia,25382090,88257.680757
Montenegro,Europe,5582850,133257.63127
Morocco,Middle East and Africa,300411962,62195.445348
Mozambique,Middle East and Africa,231694758,9162.3085253
Myanmar,Asia,459637153,38811.934087
Namibia,Middle East and Africa,20488926,82799.970065
Nepal,Asia,249164775,19322.888663
Netherlands,Europe,150679088,424536.8627
New Zealand,Oceania,39945900,308380.42788
Nicaragua,Americas,52875445,41058.652248
Niger,Middle East and Africa,160408829,7831.1581009
Nigeria,Middle East and Africa,1508963381,48272.411501
Norway,Europe,45099464,556401.56591
Oman,Middle East and Africa,31682306,389088.74044
Pakistan,Asia,1603193004,40905.062852
Panama,Americas,33965411,166751.45285
Pap. New Guinea,Oceania,66896523,30654.347401
Paraguay,Americas,57440584,93843.737483
Peru,Americas,271625668,98873.86432
Philippines,Asia,872463811,56091.614416000004
Poland,Europe,342455005,209634.91032
Portugal,Europe,94313813,250502.24425
Qatar,Middle East and Africa,15517533,888946.4972
Romania,Europe,180768281,172945.40691
Russia,Europe,1290305528,211737.08492
Rwanda,Middle East and Africa,97194950,13926.179321
Saudi Arabia,Middle East and Africa,209304082,355886.13682
Senegal,Middle East and Africa,123730565,25555.9173
Serbia,Europe,64844054,118146.42612999999
Seychelles,Middle East and Africa,369404,103987.03045
Sierra Leone,Middle East and Africa,60946603,12455.728928
Singapore,Asia,47410997,691585.26088
Slovak Rep.,Europe,48649671,241023.45557
Slovenia,Europe,18470076,267409.58462
South Africa,Middle East and Africa,477843004,111279.21087000001
Spain,Europe,418439522,299296.52562
Sri Lanka,Asia,184484288,88781.057668
Sudan,Middle East and Africa,39578828,4730.461871
Suriname,Americas,3796813,106673.26748
Swaziland,Middle East and Africa,8904921,55315.344476
Sweden,Europe,85883625,400600.54444
Switzerland,Europe,72059403,521037.9322
Syria,Middle East and Africa,179631535,35350.0
Taiwan,Asia,209698820,359454.0
Tajikistan,Asia,57276797,17640.631885
Tanzania,Middle East and Africa,443010487,20742.039032
Thailand,Asia,610091495,130037.08818
Timor-Leste,Asia,8304702,59879.118818
Togo,Middle East and Africa,61829023,12108.218041
Trinidad and Tobago,Americas,12069261,284371.45166
Tunisia,Middle East and Africa,98052611,95780.698834
Turkey,Middle East and Africa,672687312,185708.14094
Uganda,Middle East and Africa,327771267,14533.090474
Ukraine,Europe,410401821,73591.445459
United Arab Emirates,Middle East and Africa,76905327,577387.5853500001
United Kingdom,Europe,573274660,345287.52621
